sentence,condition,CW- or CWC-congruent
"If cats had loved vegetables, people would have fed them with carrots.",CW,Y
"If cats had loved vegetables, people might have fed them with carrots.",CW,Y
"If cats had loved vegetables, people would have fed them with cabbages.",CW,Y
"If cats had loved vegetables, people might have fed them with cabbages.",CW,Y
"If cats had loved vegetables, people would have fed them with grass.",CW,Y
"If cats had loved vegetables, people might have fed them with grass.",CW,Y
"If cats had loved vegetables, people would have fed them with apples.",CW,Y
"If cats had loved vegetables, people might have fed them with apples.",CW,Y
"If cats had loved vegetables, people would have fed them with tomatoes.",CW,Y
"If cats had loved vegetables, people might have fed them with tomatoes.",CW,Y
"If cats had loved vegetables, zoo keepers would have fed them with carrots.",CW,Y
"If cats had loved vegetables, zoo keepers might have fed them with carrots.",CW,Y
"If cats had loved vegetables, zoo keepers would have fed them with cabbages.",CW,Y
"If cats had loved vegetables, zoo keepers might have fed them with cabbages.",CW,Y
"If cats had loved vegetables, zoo keepers would have fed them with grass.",CW,Y
"If cats had loved vegetables, zoo keepers might have fed them with grass.",CW,Y
"If cats had loved vegetables, zoo keepers would have fed them with apples.",CW,Y
"If cats had loved vegetables, zoo keepers might have fed them with apples.",CW,Y
"If cats had loved vegetables, zoo keepers would have fed them with tomatoes.",CW,Y
"If cats had loved vegetables, zoo keepers might have fed them with tomatoes.",CW,Y
"If cats had loved vegetables, families would have fed them with carrots.",CW,Y
"If cats had loved vegetables, families might have fed them with carrots.",CW,Y
"If cats had loved vegetables, families would have fed them with cabbages.",CW,Y
"If cats had loved vegetables, families might have fed them with cabbages.",CW,Y
"If cats had loved vegetables, families would have fed them with grass.",CW,Y
"If cats had loved vegetables, families might have fed them with grass.",CW,Y
"If cats had loved vegetables, families would have fed them with apples.",CW,Y
"If cats had loved vegetables, families might have fed them with apples.",CW,Y
"If cats had loved vegetables, families would have fed them with tomatoes.",CW,Y
"If cats had loved vegetables, families might have fed them with tomatoes.",CW,Y
"If cats had loved vegetables, their mothers would have fed them with carrots.",CW,Y
"If cats had loved vegetables, their mothers might have fed them with carrots.",CW,Y
"If cats had loved vegetables, their mothers would have fed them with cabbages.",CW,Y
"If cats had loved vegetables, their mothers might have fed them with cabbages.",CW,Y
"If cats had loved vegetables, their mothers would have fed them with grass.",CW,Y
"If cats had loved vegetables, their mothers might have fed them with grass.",CW,Y
"If cats had loved vegetables, their mothers would have fed them with apples.",CW,Y
"If cats had loved vegetables, their mothers might have fed them with apples.",CW,Y
"If cats had loved vegetables, their mothers would have fed them with tomatoes.",CW,Y
"If cats had loved vegetables, their mothers might have fed them with tomatoes.",CW,Y
"If cats had loved vegetables, breeders would have fed them with carrots.",CW,Y
"If cats had loved vegetables, breeders might have fed them with carrots.",CW,Y
"If cats had loved vegetables, breeders would have fed them with cabbages.",CW,Y
"If cats had loved vegetables, breeders might have fed them with cabbages.",CW,Y
"If cats had loved vegetables, breeders would have fed them with grass.",CW,Y
"If cats had loved vegetables, breeders might have fed them with grass.",CW,Y
"If cats had loved vegetables, breeders would have fed them with apples.",CW,Y
"If cats had loved vegetables, breeders might have fed them with apples.",CW,Y
"If cats had loved vegetables, breeders would have fed them with tomatoes.",CW,Y
"If cats had loved vegetables, breeders might have fed them with tomatoes.",CW,Y
"If cats had eaten vegetables, people would have fed them with carrots.",CW,Y
"If cats had eaten vegetables, people might have fed them with carrots.",CW,Y
"If cats had eaten vegetables, people would have fed them with cabbages.",CW,Y
"If cats had eaten vegetables, people might have fed them with cabbages.",CW,Y
"If cats had eaten vegetables, people would have fed them with grass.",CW,Y
"If cats had eaten vegetables, people might have fed them with grass.",CW,Y
"If cats had eaten vegetables, people would have fed them with apples.",CW,Y
"If cats had eaten vegetables, people might have fed them with apples.",CW,Y
"If cats had eaten vegetables, people would have fed them with tomatoes.",CW,Y
"If cats had eaten vegetables, people might have fed them with tomatoes.",CW,Y
"If cats had eaten vegetables, zoo keepers would have fed them with carrots.",CW,Y
"If cats had eaten vegetables, zoo keepers might have fed them with carrots.",CW,Y
"If cats had eaten vegetables, zoo keepers would have fed them with cabbages.",CW,Y
"If cats had eaten vegetables, zoo keepers might have fed them with cabbages.",CW,Y
"If cats had eaten vegetables, zoo keepers would have fed them with grass.",CW,Y
"If cats had eaten vegetables, zoo keepers might have fed them with grass.",CW,Y
"If cats had eaten vegetables, zoo keepers would have fed them with apples.",CW,Y
"If cats had eaten vegetables, zoo keepers might have fed them with apples.",CW,Y
"If cats had eaten vegetables, zoo keepers would have fed them with tomatoes.",CW,Y
"If cats had eaten vegetables, zoo keepers might have fed them with tomatoes.",CW,Y
"If cats had eaten vegetables, families would have fed them with carrots.",CW,Y
"If cats had eaten vegetables, families might have fed them with carrots.",CW,Y
"If cats had eaten vegetables, families would have fed them with cabbages.",CW,Y
"If cats had eaten vegetables, families might have fed them with cabbages.",CW,Y
"If cats had eaten vegetables, families would have fed them with grass.",CW,Y
"If cats had eaten vegetables, families might have fed them with grass.",CW,Y
"If cats had eaten vegetables, families would have fed them with apples.",CW,Y
"If cats had eaten vegetables, families might have fed them with apples.",CW,Y
"If cats had eaten vegetables, families would have fed them with tomatoes.",CW,Y
"If cats had eaten vegetables, families might have fed them with tomatoes.",CW,Y
"If cats had eaten vegetables, their mothers would have fed them with carrots.",CW,Y
"If cats had eaten vegetables, their mothers might have fed them with carrots.",CW,Y
"If cats had eaten vegetables, their mothers would have fed them with cabbages.",CW,Y
"If cats had eaten vegetables, their mothers might have fed them with cabbages.",CW,Y
"If cats had eaten vegetables, their mothers would have fed them with grass.",CW,Y
"If cats had eaten vegetables, their mothers might have fed them with grass.",CW,Y
"If cats had eaten vegetables, their mothers would have fed them with apples.",CW,Y
"If cats had eaten vegetables, their mothers might have fed them with apples.",CW,Y
"If cats had eaten vegetables, their mothers would have fed them with tomatoes.",CW,Y
"If cats had eaten vegetables, their mothers might have fed them with tomatoes.",CW,Y
"If cats had eaten vegetables, breeders would have fed them with carrots.",CW,Y
"If cats had eaten vegetables, breeders might have fed them with carrots.",CW,Y
"If cats had eaten vegetables, breeders would have fed them with cabbages.",CW,Y
"If cats had eaten vegetables, breeders might have fed them with cabbages.",CW,Y
"If cats had eaten vegetables, breeders would have fed them with grass.",CW,Y
"If cats had eaten vegetables, breeders might have fed them with grass.",CW,Y
"If cats had eaten vegetables, breeders would have fed them with apples.",CW,Y
"If cats had eaten vegetables, breeders might have fed them with apples.",CW,Y
"If cats had eaten vegetables, breeders would have fed them with tomatoes.",CW,Y
"If cats had eaten vegetables, breeders might have fed them with tomatoes.",CW,Y
"If cats had liked vegetables, people would have fed them with carrots.",CW,Y
"If cats had liked vegetables, people might have fed them with carrots.",CW,Y
"If cats had liked vegetables, people would have fed them with cabbages.",CW,Y
"If cats had liked vegetables, people might have fed them with cabbages.",CW,Y
"If cats had liked vegetables, people would have fed them with grass.",CW,Y
"If cats had liked vegetables, people might have fed them with grass.",CW,Y
"If cats had liked vegetables, people would have fed them with apples.",CW,Y
"If cats had liked vegetables, people might have fed them with apples.",CW,Y
