condition,CW- or CWC-congruent,sentence
RW,N,If someone was interested in learning a foreign language there is a selection of courses available. A student would take a foreign language course to improve his French
RW,N,"If a couple fancied some Indian cuisine, there are lots of meal choices on offer. Lovers would go to an Indian restaurant to eat some curry"
RW,N,If the children were getting rowdy at weekends there is a lot that parents can do to keep them occupied in Glasgow. Mary would take her children to the Asda superstore to shop
RW,N,If husbands wanted to surprise their wives with a gift there are lots of ideas available on the internet. Husbands would go to a shoe shop to buy some trainers
RW,N,If a plumber had the appropriate tools he would do his job a lot faster. Sarah would call a plumber to fix her broken toilet
RW,N,If you wanted to change your appearance completely your friends would be very impressed. You would have your hair cut by a hairdresser
RW,N,If birds were a rare species they would attract a lot of attention from wildlife lovers. School pupils would go to the countryside to study birds flying
RW,N,"If a golfer were keen to win the tournament, he would need to sharpen up his technique. A golfer would hurt his shoulder from swinging his club"
RW,N,If someone were interested in the law they would be encouraged to study at one of the great universities. A student would become a solicitor by studying law
RW,N,If young couples want to enjoy a good night out there’s lots to choose from in a city like Glasgow. John would invite Mary to the cinema for a movie
RW,N,"If a train is about to make a long journey, there is a lot of activity from the people on board. A train driver would be in charge of the engine"
RW,N,"If a caterpillar had eaten enough leaves, it would be ready to transform into its next stage. A caterpillar would mature into a butterfly"
RW,N,If newspaper reporters wanted to impress the boss they would have to discover a big story that the public would enjoy. Reporters would carry out an interview with Prince
RW,N,If ants feel threatened on the ground they would have to move fast to escape the danger. A colony of ants would escape from predators by climbing
RW,N,"If you had planned to visit America, it is recommended that you watch a local sporting event. Visitors would go to Chicago to watch baseball"
RW,N,If Steve wanted to take a week off work to be more cultural I would recommend he travel around Europe. Steve would see the Eiffel Tower in France
RW,N,If Tony Blair wanted to attract a big audience he would need to host events for the public. Crowds of people would watch Tony Blair lead an campaign
RW,N,"If researchers were interested in chickens, their reproduction would be fascinating. Environmentalists would watch chickens give birth to eggs"
RW,N,If Gillian were preparing for a big night out she would spend a whole day pampering herself. Gillian would paint sparkly pink nail varnish onto her nails
RW,N,"If you monitored a spider’s daily activities, you would be fascinated by their accomplishments. A spider would spend all day producing webs"
RW,N,"If a football match were very important, the fans would get very involved with the scoring. Football fans would cheer when a player scores a goal"
RW,N,If holidaymakers wanted to get a great tan they would need to leave lots of time for sunbathing. People would sunbathe on the beach at midday
RW,N,If parents were in a good mood at Christmas they might let their children play till late. Children would stay awake on Christmas Eve to look for Santa
RW,N,"If Darwin had made more time for his research, he would have given us much more to learn from. Darwin would have published a book about the evolution of animals"
RW,N,If a ferry wanted to set a new world record the crew would need to be very efficient at their jobs. A ferry would travel across the Atlantic Ocean in the sea
RW,N,If Isaac Newton had wanted to become more influential he would have had to spend more time recording his findings. Isaac Newton would have documented his research on a typewriter
RW,N,"If we had enough money for a holiday to Switzerland, books would advise us where to visit. Gary would go to Switzerland to climb the mountains"
RW,N,If cats are bored and want something to do they are usually very good at letting their owners know. Judith would listen to her cat meow
RW,N,If footballers wanted to win an important match they would need to be skilful and work as a team. Footballers would avoid a tackle by passing the ball using their feet
RW,N,"If birds were flying in a confined space, they require a good awareness of their surroundings. A bird would avoid collisions at night using sight"
RW,N,"If the Queen died soon, the Royal family would need to appoint a new King to take her place. The next King of England would be chosen by heredity"
RW,N,"If penguins want to survive, they must understand the risks in their home environment. Penguins would learn to outrun bears"
RW,Y,If someone was interested in learning a foreign language there is a selection of courses available. A student would take a foreign language course to improve his painting
