condition,sentence_original,target,context_original,context_baseline1,context_baseline2,context_baseline3
rw_con,"Because it had rained this morning Susan had rushed to get to work. In the end, Susan arrived at work early and her colleagues commented on it.",early,"Because it had rained this morning Susan had rushed to get to work. In the end, Susan arrived at work early"," In the end, Susan arrived at work early","Because it had rained this morning Susan had rushed to get to work. In the end, Susan arrived at work early","it had rained this morning Susan had rushed to get to work. In the end, Susan arrived at work early"
rw_incon,"Because it had rained this morning Susan had rushed to get to work. In the end, Susan arrived at work late and her colleagues commented on it.",late,"Because it had rained this morning Susan had rushed to get to work. In the end, Susan arrived at work late"," In the end, Susan arrived at work late","Because it had rained this morning Susan had rushed to get to work. In the end, Susan arrived at work late","it had rained this morning Susan had rushed to get to work. In the end, Susan arrived at work late"
cw_con,"If it had rained this morning Susan would have rushed to get to work. In the end, Susan arrived at work late and her colleagues commented on it.",late,"If it had rained this morning Susan would have rushed to get to work. In the end, Susan arrived at work late"," In the end, Susan arrived at work late","If it had rained this morning Susan would have rushed to get to work. In the end, Susan would arrive at work late","it had rained this morning Susan would have rushed to get to work. In the end, Susan arrived at work late"
cw_incon,"If it had rained this morning Susan would have rushed to get to work. In the end, Susan arrived at work early and her colleagues commented on it.",early,"If it had rained this morning Susan would have rushed to get to work. In the end, Susan arrived at work early"," In the end, Susan arrived at work early","If it had rained this morning Susan would have rushed to get to work. In the end, Susan would arrive at work early","it had rained this morning Susan would have rushed to get to work. In the end, Susan arrived at work early"
rw_con,"Because Karl had been wearing a jacket, he hadn’t minded the long delay. After waiting outside for an hour he now felt warm as he watched the train approach.",warm,"Because Karl had been wearing a jacket, he hadn’t minded the long delay. After waiting outside for an hour he now felt warm", After waiting outside for an hour he now felt warm,"Because Karl had been wearing a jacket, he hadn‚Äôt minded the long delay. After waiting outside for an hour he now felt warm","Karl had been wearing a jacket, he hadn’t minded the long delay. After waiting outside for an hour he now felt warm"
rw_incon,"Because Karl had been wearing a jacket, he hadn’t minded the long delay. After waiting outside for an hour he now felt cold as he watched the train approach.",cold,"Because Karl had been wearing a jacket, he hadn’t minded the long delay. After waiting outside for an hour he now felt cold", After waiting outside for an hour he now felt cold,"Because Karl had been wearing a jacket, he hadn‚Äôt minded the long delay. After waiting outside for an hour he now felt cold","Karl had been wearing a jacket, he hadn’t minded the long delay. After waiting outside for an hour he now felt cold"
cw_con,"If Karl had been wearing a jacket, he wouldn’t have minded the long delay. After waiting outside for an hour he now felt cold as he watched the train approach.",cold,"If Karl had been wearing a jacket, he wouldn’t have minded the long delay. After waiting outside for an hour he now felt cold", After waiting outside for an hour he now felt cold,"If Karl had been wearing a jacket, he wouldn‚Äôt have minded the long delay. After waiting outside for an hour he now would feel cold","Karl had been wearing a jacket, he wouldn’t have minded the long delay. After waiting outside for an hour he now felt cold"
cw_incon,"If Karl had been wearing a jacket, he wouldn’t have minded the long delay. After waiting outside for an hour he now felt warm as he watched the train approach.",warm,"If Karl had been wearing a jacket, he wouldn’t have minded the long delay. After waiting outside for an hour he now felt warm", After waiting outside for an hour he now felt warm,"If Karl had been wearing a jacket, he wouldn‚Äôt have minded the long delay. After waiting outside for an hour he now would feel warm","Karl had been wearing a jacket, he wouldn’t have minded the long delay. After waiting outside for an hour he now felt warm"
rw_con,"Because Helen had received her first student loan, her bank balance was now in credit. When she checked her bank balance today she was happy with her financial situation.",happy,"Because Helen had received her first student loan, her bank balance was now in credit. When she checked her bank balance today she was happy", When she checked her bank balance today she was happy,"Because Helen had received her first student loan, her bank balance was now in credit. When she checked her bank balance today she was happy","Helen had received her first student loan, her bank balance was now in credit. When she checked her bank balance today she was happy"
rw_incon,"Because Helen had received her first student loan, her bank balance was now in credit. When she checked her bank balance today she was worried with her financial situation.",worried,"Because Helen had received her first student loan, her bank balance was now in credit. When she checked her bank balance today she was worried", When she checked her bank balance today she was worried,"Because Helen had received her first student loan, her bank balance was now in credit. When she checked her bank balance today she was worried","Helen had received her first student loan, her bank balance was now in credit. When she checked her bank balance today she was worried"
